epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.33153,2.90188,10.2747,0.87852,4.19891,4.16468,0.00667,0.57143,0.05875,0.02592,0,0,0,0,3.43521,11.0361,0.64704,3.69222,3.96838,0,0,0
2,10.9328,3.54999,9.92689,0.81653,3.86192,3.95682,0.00667,0.57143,0.01507,0.00543,0,0,0,0,3.43531,11.0361,0.64705,3.69221,3.96837,1.9802e-05,1.9802e-05,1.9802e-05
3,15.6056,3.19185,9.70733,0.9978,3.75605,4.00722,0.00667,0.57143,0.01259,0.00481,0,0,0,0,3.43543,11.0388,0.64705,3.69232,3.96852,3.9208e-05,3.9208e-05,3.9208e-05
4,20.5168,3.6878,10.3009,0.66571,4.08858,4.10686,0.00667,0.57143,0.01896,0.00761,0,0,0,0,3.43556,11.0354,0.64705,3.6924,3.96857,5.8218e-05,5.8218e-05,5.8218e-05
5,31.6723,2.798,9.86832,0.84761,4.00045,4.11825,0.00667,0.57143,0.01457,0.00548,0,0,0,0,3.43573,11.0354,0.64705,3.69247,3.96854,7.6832e-05,7.6832e-05,7.6832e-05
6,36.4918,2.89423,9.79517,0.6946,3.83113,4.03632,0.00667,0.57143,0.01496,0.00645,0,0,0,0,3.43593,11.0354,0.64705,3.69257,3.9685,9.505e-05,9.505e-05,9.505e-05
7,43.0774,3.3131,9.64332,0.89764,3.78635,4.02751,0.00667,0.57143,0.06337,0.01597,0,0,0,0,3.43613,11.0355,0.64705,3.6926,3.96846,0.000112872,0.000112872,0.000112872
8,48.1646,3.44107,10.0849,0.72238,3.86043,4.09812,0.00667,0.57143,0.01645,0.00568,0,0,0,0,3.43635,11.0355,0.64704,3.69252,3.96841,0.000130298,0.000130298,0.000130298
9,52.7548,3.15816,9.39649,0.82189,3.82355,4.04312,0.00667,0.57143,0.0128,0.00566,0,0,0,0,3.4366,11.0355,0.64704,3.69253,3.96836,0.000147328,0.000147328,0.000147328
10,54.9097,2.69957,9.32955,0.97967,3.76015,4.11792,0.00667,0.57143,0.05414,0.02871,0,0,0,0,3.43688,11.0355,0.64703,3.69251,3.96832,0.000163962,0.000163962,0.000163962
11,58.9232,3.5408,9.98886,0.84724,3.63629,3.92801,0.00667,0.57143,0.0161,0.00763,0,0,0,0,3.4372,11.0355,0.64702,3.69241,3.96829,0.0001802,0.0001802,0.0001802
12,61.9844,3.36721,9.94294,0.70856,3.85716,3.98646,0.00667,0.57143,0.01859,0.00878,0,0,0,0,3.43757,11.0355,0.64701,3.69237,3.9683,0.000196042,0.000196042,0.000196042
13,66.5432,2.83607,10.1492,0.87786,3.6926,3.96208,0.00667,0.57143,0.04628,0.02656,0,0,0,0,3.43815,11.0355,0.64699,3.69227,3.96835,0.000211488,0.000211488,0.000211488
14,68.6558,2.57451,9.93743,0.83363,3.68109,4.05716,0.00667,0.57143,0.01549,0.00573,0,0,0,0,3.43881,11.0355,0.64698,3.69223,3.96839,0.000226538,0.000226538,0.000226538
15,72.8274,2.77523,9.46162,0.7958,4.07118,3.92877,0.00667,0.57143,0.0965,0.03122,0,0,0,0,3.43949,11.0355,0.64697,3.69207,3.96844,0.000241192,0.000241192,0.000241192
16,75.3436,3.83327,10.4086,0.82952,3.75181,4.03335,0.00667,0.57143,0.0345,0.02804,0,0,0,0,3.44036,11.0354,0.64696,3.69208,3.96853,0.00025545,0.00025545,0.00025545
17,78.1694,3.31015,9.62818,0.85388,3.58024,3.9424,0.00667,0.57143,0.0401,0.01136,0,0,0,0,3.44122,11.0353,0.64694,3.69196,3.96862,0.000269312,0.000269312,0.000269312
18,81.8903,3.83049,10.3031,0.82777,3.68602,3.88203,0.00667,0.57143,0.0401,0.01136,0,0,0,0,3.44122,11.0353,0.64694,3.69196,3.96862,0.000282778,0.000282778,0.000282778
19,83.9882,3.48204,10.2439,0.75544,3.71866,3.90935,0.00667,0.57143,0.03733,0.01636,0,0,0,0,3.44271,11.0352,0.64692,3.69187,3.96884,0.000295848,0.000295848,0.000295848
20,86.1316,2.8423,9.50061,0.97092,3.62556,4.06448,0.00667,0.57143,0.03733,0.01636,0,0,0,0,3.44271,11.0352,0.64692,3.69187,3.96884,0.000308522,0.000308522,0.000308522
21,88.6507,3.10724,9.15624,0.88688,3.71271,3.95034,0.00667,0.57143,0.06524,0.02576,0,0,0,0,3.44439,11.0428,0.64691,3.69163,3.9689,0.0003208,0.0003208,0.0003208
22,91.3213,2.68773,8.86158,1.02344,3.68576,3.94766,0.00667,0.57143,0.06524,0.02576,0,0,0,0,3.44439,11.0428,0.64691,3.69163,3.9689,0.000332682,0.000332682,0.000332682
23,95.3167,2.53595,9.59963,0.76733,3.75603,3.95953,0.00667,0.57143,0.0648,0.02724,0,0,0,0,3.44614,11.0426,0.64688,3.69148,3.96921,0.000344168,0.000344168,0.000344168
24,97.4772,3.72285,8.69719,0.81623,4.46191,4.03374,0.00667,0.57143,0.0648,0.02724,0,0,0,0,3.44614,11.0426,0.64688,3.69148,3.96921,0.000355258,0.000355258,0.000355258
25,99.2289,2.35974,9.55723,0.86142,3.7546,3.90039,0.00667,0.57143,0.10552,0.02816,0,0,0,0,3.44794,11.0422,0.64685,3.69136,3.96958,0.000365952,0.000365952,0.000365952
26,103.559,2.82665,9.92983,0.74105,3.70925,3.91971,0.00667,0.57143,0.10552,0.02816,0,0,0,0,3.44794,11.0422,0.64685,3.69136,3.96958,0.00037625,0.00037625,0.00037625
27,105.707,2.89702,9.76089,0.91139,3.58546,3.90729,0.00667,0.57143,0.02127,0.00819,0,0,0,0,3.45013,11.0416,0.64682,3.69119,3.97005,0.000386152,0.000386152,0.000386152
28,108.211,2.44977,9.84729,0.85808,3.78619,3.84944,0.00667,0.57143,0.02127,0.00819,0,0,0,0,3.45013,11.0416,0.64682,3.69119,3.97005,0.000395658,0.000395658,0.000395658
29,110.002,3.2449,9.29219,0.75603,4.09342,4.05613,0.00667,0.57143,0.02048,0.00765,0,0,0,0,3.45236,11.0407,0.64678,3.69085,3.97077,0.000404768,0.000404768,0.000404768
30,113.003,3.13993,10.4232,0.74985,3.84134,3.96338,0.00667,0.57143,0.02048,0.00765,0,0,0,0,3.45236,11.0407,0.64678,3.69085,3.97077,0.000413482,0.000413482,0.000413482
31,115.185,2.57715,9.24174,1.01206,3.67271,3.93303,0.00667,0.57143,0.01971,0.00817,0,0,0,0,3.45494,11.0398,0.64673,3.69052,3.97185,0.0004218,0.0004218,0.0004218
32,118.389,3.47519,10.0479,0.73849,3.94441,3.89442,0.00667,0.57143,0.01971,0.00817,0,0,0,0,3.45494,11.0398,0.64673,3.69052,3.97185,0.000429722,0.000429722,0.000429722
33,120.573,3.35656,10.0687,0.74495,3.68273,4.01812,0.00667,0.57143,0.02973,0.00912,0,0,0,0,3.45759,11.0389,0.64665,3.68995,3.97281,0.000437248,0.000437248,0.000437248
34,123.03,3.48461,10.0558,0.95685,3.66455,3.904,0.00667,0.57143,0.02973,0.00912,0,0,0,0,3.45759,11.0389,0.64665,3.68995,3.97281,0.000444378,0.000444378,0.000444378
35,124.825,2.68366,8.56279,1.00898,3.46543,3.99839,0.00667,0.57143,0.01865,0.00663,0,0,0,0,3.46033,11.0379,0.64658,3.68934,3.97389,0.000451112,0.000451112,0.000451112
36,127.662,3.02375,9.45406,0.83558,3.63434,3.78737,0.00667,0.57143,0.01865,0.00663,0,0,0,0,3.46033,11.0379,0.64658,3.68934,3.97389,0.00045745,0.00045745,0.00045745
37,129.811,2.67274,9.52856,0.91555,3.58669,3.82842,0.00667,0.57143,0.02019,0.00815,0,0,0,0,3.46317,11.0382,0.64648,3.68879,3.9742,0.000463392,0.000463392,0.000463392
38,133.4,2.55134,9.61732,0.80299,3.54235,3.79452,0.00667,0.57143,0.02019,0.00815,0,0,0,0,3.46317,11.0382,0.64648,3.68879,3.9742,0.000468938,0.000468938,0.000468938
39,135.718,2.93494,10.0163,0.79104,3.4708,3.92083,0.00667,0.57143,0.01935,0.00748,0,0,0,0,3.46613,11.0375,0.64639,3.68782,3.9758,0.000474088,0.000474088,0.000474088
40,138.199,2.44853,9.15541,0.73242,3.40071,3.87761,0.00667,0.57143,0.01935,0.00748,0,0,0,0,3.46613,11.0375,0.64639,3.68782,3.9758,0.000478842,0.000478842,0.000478842
41,140.394,2.87008,9.70129,0.78245,3.8805,4.0117,0.00667,0.57143,0.02052,0.00812,0,0,0,0,3.46858,11.037,0.6463,3.68654,3.9773,0.0004832,0.0004832,0.0004832
42,142.705,2.80085,9.19971,0.96829,3.75529,3.92911,0.00667,0.57143,0.02052,0.00812,0,0,0,0,3.46858,11.037,0.6463,3.68654,3.9773,0.000487162,0.000487162,0.000487162
43,145.178,3.26358,9.62954,0.83721,3.5268,3.8715,0.00667,0.57143,0.0196,0.00781,0,0,0,0,3.47103,11.0458,0.64618,3.68528,3.98065,0.000490728,0.000490728,0.000490728
44,147.617,3.31271,9.55664,0.85639,3.5355,3.7167,0.00667,0.57143,0.0196,0.00781,0,0,0,0,3.47103,11.0458,0.64618,3.68528,3.98065,0.000493898,0.000493898,0.000493898
45,149.789,2.78318,9.10318,0.74538,3.66659,3.9596,0.00667,0.57143,0.01972,0.00722,0,0,0,0,3.47846,11.0361,0.65546,3.67457,3.97722,0.000496672,0.000496672,0.000496672
46,152.004,3.04511,9.2296,0.80686,3.56953,3.73512,0.00667,0.57143,0.01972,0.00722,0,0,0,0,3.47846,11.0361,0.65546,3.67457,3.97722,0.00049905,0.00049905,0.00049905
47,154.465,2.92435,9.96679,0.7677,3.63818,3.76098,0.00667,0.57143,0.01862,0.00701,0,0,0,0,3.48068,11.0431,0.65539,3.67379,3.97954,0.000501032,0.000501032,0.000501032
48,157.175,3.01399,9.55343,0.75229,3.76585,3.72403,0.00667,0.57143,0.01862,0.00701,0,0,0,0,3.48068,11.0431,0.65539,3.67379,3.97954,0.000502618,0.000502618,0.000502618
49,159.256,3.28534,9.50356,0.77194,3.72672,3.59346,0.00667,0.57143,0.01757,0.00634,0,0,0,0,3.48395,11.0446,0.6553,3.6738,3.98206,0.000503808,0.000503808,0.000503808
50,161.432,3.22627,9.26565,0.86831,3.51388,3.83618,0.00667,0.57143,0.01757,0.00634,0,0,0,0,3.48395,11.0446,0.6553,3.6738,3.98206,0.000504602,0.000504602,0.000504602
51,167.184,2.57407,8.75294,0.91546,3.43808,3.61273,0.0075,0.64286,0.02214,0.00606,0,0,0,0,3.48762,11.041,0.65522,3.67376,3.98473,0.000505,0.000505,0.000505
52,169.173,2.51241,9.80124,0.86147,3.5637,3.82634,0.0075,0.64286,0.02214,0.00606,0,0,0,0,3.48762,11.041,0.65522,3.67376,3.98473,0.000505002,0.000505002,0.000505002
